# KOSPI200 History Data Export
# 종목코드: A000080
# 종목명: 하이트진로
# 데이터 개수: 2856개
# 기간: 2013-12-18 ~ 2025-08-06
# 내보내기 시간: 2025-08-06 13:10:59

Date,Open,High,Low,Close,Volume,Amount,Updated_At
2025-08-06,19860,20100,19860,19940,57816,1155000000,2025-08-06T13:01:50.444402
2025-08-05,20000,20150,19860,19860,147200,2934000000,2025-08-06T13:01:50.444402
2025-08-04,19910,20100,19690,19920,187611,3740000000,2025-08-06T13:01:50.444402
2025-08-01,20100,20150,19880,19900,277735,5543000000,2025-08-06T13:01:50.444402
2025-07-31,20350,20400,20150,20250,121055,2448000000,2025-08-06T13:01:50.444402
2025-07-30,20200,20400,20150,20350,95980,1948000000,2025-08-06T13:01:50.444402
2025-07-29,20100,20300,20000,20200,123008,2477000000,2025-08-06T13:01:50.444402
2025-07-28,20450,20550,20150,20150,201765,4081000000,2025-08-06T13:01:50.444402
2025-07-25,20600,20700,20450,20450,96717,1984000000,2025-08-06T13:01:50.444402
2025-07-24,20850,20900,20450,20500,197206,4065000000,2025-08-06T13:01:50.444402
2025-07-23,21000,21100,20550,20850,122503,2545000000,2025-08-06T13:01:50.444402
2025-07-22,21150,21200,20800,20950,175802,3686000000,2025-08-06T13:01:50.444402
2025-07-21,21500,21500,21000,21100,233779,4942000000,2025-08-06T13:01:50.444402
2025-07-18,21550,21600,21250,21450,128345,2745000000,2025-08-06T13:01:50.444402
2025-07-17,21500,21500,21200,21400,137300,2927000000,2025-08-06T13:01:50.444402
2025-07-16,21850,21900,21350,21450,195964,4219000000,2025-08-06T13:01:50.444402
2025-07-15,21900,22000,21750,21900,249017,5441000000,2025-08-06T13:01:50.443898
2025-07-14,21750,22100,21600,22000,248457,5452000000,2025-08-06T13:01:50.443898
2025-07-11,21550,21850,21550,21650,152190,3295000000,2025-08-06T13:01:50.443898
2025-07-10,21650,21750,21425,21500,239625,5168000000,2025-08-06T13:01:50.443898
2025-07-09,21550,21750,21500,21650,123121,2659000000,2025-08-06T13:01:50.443898
2025-07-08,21800,21800,21250,21500,271659,5823000000,2025-08-06T13:01:50.443898
2025-07-07,21000,22200,21000,21750,889756,19355000000,2025-08-06T13:01:50.443898
2025-07-04,21100,21150,20700,20850,196116,4096000000,2025-08-06T13:01:50.442898
2025-07-03,21200,21250,20950,21100,198400,4184000000,2025-08-06T13:01:50.442898
2025-07-02,20850,20950,20700,20900,179656,3742000000,2025-08-06T13:01:50.442898
2025-07-01,20650,20900,20600,20700,219028,4543000000,2025-08-06T13:01:50.442898
2025-06-30,20300,20700,20250,20600,166265,3407000000,2025-08-06T13:01:50.442898
2025-06-27,20350,20400,20100,20200,184134,3726000000,2025-08-06T13:01:50.442898
2025-06-26,20550,20550,20200,20400,233858,4752000000,2025-08-06T13:01:50.442898
2025-06-25,20450,20600,20350,20500,156988,3212000000,2025-08-06T13:01:50.442898
2025-06-24,20400,20450,20250,20400,231301,4709000000,2025-08-06T13:01:50.442898
2025-06-23,20100,20150,20000,20050,108457,2176000000,2025-08-06T13:01:50.442898
2025-06-20,20450,20450,20150,20350,191218,3879000000,2025-08-06T13:01:50.442898
2025-06-19,20100,20300,20050,20250,118354,2389000000,2025-08-06T13:01:50.442898
2025-06-18,19990,20150,19970,20050,135928,2723000000,2025-08-06T13:01:50.442898
2025-06-17,20000,20300,19960,20100,216427,4347000000,2025-08-06T13:01:50.442898
2025-06-16,19910,19930,19660,19880,118816,2353000000,2025-08-06T13:01:50.442898
2025-06-13,20450,20500,19890,19950,340816,6823000000,2025-08-06T13:01:50.441899
2025-06-12,20350,20550,20300,20550,175269,3592000000,2025-08-06T13:01:50.441899
2025-06-11,20600,20650,20350,20400,211069,4310000000,2025-08-06T13:01:50.441899
2025-06-10,20850,20900,20400,20750,215993,4458000000,2025-08-06T13:01:50.441899
2025-06-09,20600,20850,20500,20600,293292,6044000000,2025-08-06T13:01:50.441899
2025-06-05,20150,20400,20100,20300,177510,3596000000,2025-08-06T13:01:50.441899
2025-06-04,20000,20250,19980,20150,196470,3951000000,2025-08-06T13:01:50.441899
2025-06-02,20150,20250,19820,19840,174460,3476000000,2025-08-06T13:01:50.441899
2025-05-30,20300,20350,20050,20200,167494,3379000000,2025-08-06T13:01:50.441899
2025-05-29,19730,20550,19660,20400,602836,12185000000,2025-08-06T13:01:50.441899
2025-05-28,19270,19540,19230,19530,235222,4573000000,2025-08-06T13:01:50.441899
2025-05-27,19180,19280,19160,19280,62190,1196000000,2025-08-06T13:01:50.441899
2025-05-26,19180,19280,19070,19280,73920,1415000000,2025-08-06T13:01:50.441899
2025-05-23,19170,19210,19110,19120,86208,1649000000,2025-08-06T13:01:50.441899
2025-05-22,19200,19420,19160,19200,130890,2519000000,2025-08-06T13:01:50.441899
2025-05-21,19310,19320,19160,19250,82069,1577000000,2025-08-06T13:01:50.440898
2025-05-20,19380,19420,19240,19260,100465,1941000000,2025-08-06T13:01:50.440898
2025-05-19,19380,19410,19170,19300,101168,1948000000,2025-08-06T13:01:50.440898
2025-05-16,19360,19630,19330,19420,216302,4207000000,2025-08-06T13:01:50.440898
2025-05-15,19050,19600,18990,19290,251245,4834000000,2025-08-06T13:01:50.440898
2025-05-14,19150,19190,19060,19110,122440,2338000000,2025-08-06T13:01:50.440898
2025-05-13,19270,19350,19110,19150,154976,2975000000,2025-08-06T13:01:50.440898
2025-05-12,19290,19350,19260,19310,57464,1108000000,2025-08-06T13:01:50.440898
2025-05-09,19270,19310,19230,19290,46914,904000000,2025-08-06T13:01:50.440898
2025-05-08,19280,19350,19250,19280,104304,2012000000,2025-08-06T13:01:50.440898
2025-05-07,19340,19440,19280,19310,95427,1844000000,2025-08-06T13:01:50.440898
2025-05-02,19270,19360,19240,19310,68618,1324000000,2025-08-06T13:01:50.440898
2025-04-30,19240,19350,19210,19330,66042,1273000000,2025-08-06T13:01:50.440898
2025-04-29,19180,19380,19180,19260,82931,1599000000,2025-08-06T13:01:50.439898
2025-04-28,19210,19320,19170,19180,58004,1115000000,2025-08-06T13:01:50.439898
