rank,code,name,kospi200_kind,record_count,has_data,earliest_date,latest_date,first_update,last_update
1,A000080,하이트진로,7,2856,예,2013-12-18,2025-08-06,2025-08-06T12:58:51.800168,2025-08-06T13:01:50.444402
2,A000100,유한양행,10,2856,예,2013-12-18,2025-08-06,2025-08-06T13:02:14.481969,2025-08-06T13:02:14.664998
3,A000120,CJ대한통운,9,2856,예,2013-12-18,2025-08-06,2025-08-06T13:02:39.157458,2025-08-06T13:02:39.337570
4,A000150,두산,2,2856,예,2013-12-18,2025-08-06,2025-08-06T13:03:09.688974,2025-08-06T13:03:09.866996
5,A000210,DL,4,2856,예,2013-12-18,2025-08-06,2025-08-06T13:03:34.142066,2025-08-06T13:03:34.322052
6,A000240,한국앤컴퍼니,8,2856,예,2013-12-18,2025-08-06,2025-08-06T13:04:02.500078,2025-08-06T13:04:02.686302
7,A000270,기아,8,2856,예,2013-12-18,2025-08-06,2025-08-06T13:04:50.110142,2025-08-06T13:04:50.294800
8,A000660,SK하이닉스,5,2856,예,2013-12-18,2025-08-06,2025-08-06T13:05:45.418753,2025-08-06T13:05:45.602347
9,A000670,영풍,3,2856,예,2013-12-18,2025-08-06,2025-08-06T13:06:30.534852,2025-08-06T13:06:30.760297
10,A000720,현대건설,1,2856,예,2013-12-18,2025-08-06,2025-08-06T13:07:25.057442,2025-08-06T13:07:25.267354
11,A000810,삼성화재,6,2856,예,2013-12-18,2025-08-06,2025-08-06T13:07:44.243495,2025-08-06T13:07:44.548474
12,A000880,한화,4,2856,예,2013-12-18,2025-08-06,2025-08-06T13:08:30.932542,2025-08-06T13:08:31.134008
13,A001040,CJ,7,2856,예,2013-12-18,2025-08-06,2025-08-06T13:09:18.861055,2025-08-06T13:09:19.055755
14,A001430,세아베스틸지주,3,2856,예,2013-12-18,2025-08-06,2025-08-06T13:10:23.405759,2025-08-06T13:10:23.594169
15,A001440,대한전선,9,2856,예,2013-12-18,2025-08-06,2025-08-06T13:11:00.083766,2025-08-06T13:11:00.282246
16,A001450,현대해상,6,2856,예,2013-12-18,2025-08-06,2025-08-06T13:12:00.550382,2025-08-06T13:12:00.786941
17,A001680,대상,7,2856,예,2013-12-18,2025-08-06,2025-08-06T13:12:37.070807,2025-08-06T13:12:37.264789
18,A001800,오리온홀딩스,7,2856,예,2013-12-18,2025-08-06,2025-08-06T13:13:18.991375,2025-08-06T13:13:19.190548
19,A002380,KCC,4,2856,예,2013-12-18,2025-08-06,2025-08-06T13:13:48.623718,2025-08-06T13:13:48.817388
20,A002710,TCC스틸,3,2856,예,2013-12-18,2025-08-06,2025-08-06T13:14:13.810959,2025-08-06T13:14:14.015048
21,A002790,아모레퍼시픽홀딩스,7,2856,예,2013-12-18,2025-08-06,2025-08-06T13:15:03.266493,2025-08-06T13:15:03.464644
22,A002840,미원상사,4,2856,예,2013-12-18,2025-08-06,2025-08-06T13:15:56.909638,2025-08-06T13:15:57.108098
23,A003030,세아제강지주,3,2856,예,2013-12-18,2025-08-06,2025-08-06T13:16:45.239320,2025-08-06T13:16:45.523607
24,A003090,대웅,10,2856,예,2013-12-18,2025-08-06,2025-08-06T13:17:48.084198,2025-08-06T13:17:48.330293
25,A003230,삼양식품,7,2856,예,2013-12-18,2025-08-06,2025-08-06T13:18:23.992326,2025-08-06T13:18:24.224751
